transaction_id,timestamp,source_account,destination_account,amount,transaction_type,branch_id,channel,balance_after,reference_text
CBS-S43-00001,2026-01-01T00:01:00Z,3489,203495,11431.9,UPI,BR-001042,MOBILE_APP,88568.1,Online payment
CBS-S43-00002,2026-01-01T00:15:00Z,103492,3489,94471.76,NEFT,BR-000240,NET_BANKING,5528.240000000005,Invoice settlement
CBS-S43-00003,2026-01-01T00:38:00Z,203495,103492,21339.4,RTGS,BR-000102,NET_BANKING,78660.6,Salary credit
CBS-S43-00004,2026-01-01T00:51:00Z,3489,203495,61617.64,IMPS,BR-001042,ATM_KIOSK,26950.460000000006,UPI transfer
CBS-S43-00005,2026-01-01T01:10:00Z,103492,3489,82842.57,ATM,BR-000240,ATM_KIOSK,0.0,Vendor payment
CBS-S43-00006,2026-01-01T01:22:00Z,203495,103492,9453.77,CHEQUE,BR-000102,ATM_KIOSK,69206.83,EMI debit
CBS-S43-00007,2026-01-01T01:30:00Z,3489,203495,84960.36,UPI,BR-001042,MOBILE_APP,0.0,Refund credit
CBS-S43-00008,2026-01-01T01:48:00Z,103492,3489,39730.35,NEFT,BR-000240,NET_BANKING,0.0,Self-transfer
CBS-S43-00009,2026-01-01T02:08:00Z,203495,103492,6840.43,RTGS,BR-000102,NET_BANKING,62366.4,Business advance
CBS-S43-00010,2026-01-01T02:15:00Z,3489,203495,81076.11,IMPS,BR-001042,ATM_KIOSK,0.0,Utility payment
CBS-S43-00011,2026-01-01T02:33:00Z,103492,3489,51358.9,ATM,BR-000240,ATM_KIOSK,0.0,Online payment
CBS-S43-00012,2026-01-01T02:48:00Z,203495,103492,72975.7,CHEQUE,BR-000102,ATM_KIOSK,0.0,Invoice settlement
CBS-S43-00013,2026-01-01T03:09:00Z,3489,203495,91106.4,UPI,BR-001042,MOBILE_APP,0.0,Salary credit
CBS-S43-00014,2026-01-01T03:20:00Z,103492,3489,76312.33,NEFT,BR-000240,NET_BANKING,0.0,UPI transfer
CBS-S43-00015,2026-01-01T03:40:00Z,203495,103492,52592.25,RTGS,BR-000102,NET_BANKING,0.0,Vendor payment
CBS-S43-00016,2026-01-01T03:47:00Z,3489,203495,95515.61,IMPS,BR-001042,ATM_KIOSK,0.0,EMI debit
CBS-S43-00017,2026-01-01T04:04:00Z,103492,3489,79030.27,ATM,BR-000240,ATM_KIOSK,0.0,Refund credit
CBS-S43-00018,2026-01-01T04:21:00Z,203495,103492,33411.62,CHEQUE,BR-000102,ATM_KIOSK,0.0,Self-transfer
CBS-S43-00019,2026-01-01T04:40:00Z,3489,203495,63906.98,UPI,BR-001042,MOBILE_APP,0.0,Business advance
CBS-S43-00020,2026-01-01T04:48:00Z,103492,3489,17409.98,NEFT,BR-000240,NET_BANKING,0.0,Utility payment
CBS-S43-00021,2026-01-01T05:10:00Z,203495,103492,99921.92,RTGS,BR-000102,NET_BANKING,0.0,Online payment
CBS-S43-00022,2026-01-01T05:22:00Z,3489,203495,42123.6,IMPS,BR-001042,ATM_KIOSK,0.0,Invoice settlement
CBS-S43-00023,2026-01-01T05:38:00Z,103492,3489,68458.94,ATM,BR-000240,ATM_KIOSK,0.0,Salary credit
CBS-S43-00024,2026-01-01T05:53:00Z,203495,103492,89412.62,CHEQUE,BR-000102,ATM_KIOSK,0.0,UPI transfer
CBS-S43-00025,2026-01-01T06:03:00Z,3489,203495,70356.87,UPI,BR-001042,MOBILE_APP,0.0,Vendor payment
CBS-S43-00026,2026-01-01T06:20:00Z,103492,3489,88683.38,NEFT,BR-000240,NET_BANKING,0.0,EMI debit
CBS-S43-00027,2026-01-01T06:39:00Z,203495,103492,509.33,RTGS,BR-000102,NET_BANKING,0.0,Refund credit
CBS-S43-00028,2026-01-01T06:53:00Z,3489,203495,96533.19,IMPS,BR-001042,ATM_KIOSK,0.0,Self-transfer
CBS-S43-00029,2026-01-01T07:01:00Z,103492,3489,77315.83,ATM,BR-000240,ATM_KIOSK,0.0,Business advance
CBS-S43-00030,2026-01-01T07:16:00Z,203495,103492,40539.04,CHEQUE,BR-000102,ATM_KIOSK,0.0,Utility payment
CBS-S43-00031,2026-01-01T07:30:00Z,3489,203495,42825.49,UPI,BR-001042,MOBILE_APP,0.0,Online payment
CBS-S43-00032,2026-01-01T07:55:00Z,103492,3489,57054.71,NEFT,BR-000240,NET_BANKING,0.0,Invoice settlement
CBS-S43-00033,2026-01-01T08:07:00Z,203495,103492,22033.54,RTGS,BR-000102,NET_BANKING,0.0,Salary credit
CBS-S43-00034,2026-01-01T08:23:00Z,3489,203495,7012.65,IMPS,BR-001042,ATM_KIOSK,0.0,UPI transfer
CBS-S43-00035,2026-01-01T08:30:00Z,103492,3489,22712.93,ATM,BR-000240,ATM_KIOSK,0.0,Vendor payment
CBS-S43-00036,2026-01-01T08:51:00Z,203495,103492,53442.52,CHEQUE,BR-000102,ATM_KIOSK,0.0,EMI debit
CBS-S43-00037,2026-01-01T09:10:00Z,3489,203495,21060.91,UPI,BR-001042,MOBILE_APP,0.0,Refund credit
CBS-S43-00038,2026-01-01T09:22:00Z,103492,3489,41846.73,NEFT,BR-000240,NET_BANKING,0.0,Self-transfer
CBS-S43-00039,2026-01-01T09:32:00Z,203495,103492,94930.1,RTGS,BR-000102,NET_BANKING,0.0,Business advance
CBS-S43-00040,2026-01-01T09:48:00Z,3489,203495,34923.44,IMPS,BR-001042,ATM_KIOSK,0.0,Utility payment
CBS-S43-00041,2026-01-01T10:00:00Z,103492,3489,80721.63,ATM,BR-000240,ATM_KIOSK,0.0,Online payment
CBS-S43-00042,2026-01-01T10:24:00Z,203495,103492,51954.13,CHEQUE,BR-000102,ATM_KIOSK,0.0,Invoice settlement
CBS-S43-00043,2026-01-01T10:40:00Z,3489,203495,16059.08,UPI,BR-001042,MOBILE_APP,0.0,Salary credit
CBS-S43-00044,2026-01-01T10:52:00Z,103492,3489,27130.94,NEFT,BR-000240,NET_BANKING,0.0,UPI transfer
CBS-S43-00045,2026-01-01T11:05:00Z,203495,103492,94025.52,RTGS,BR-000102,NET_BANKING,0.0,Vendor payment
CBS-S43-00046,2026-01-01T11:23:00Z,3489,203495,35275.22,IMPS,BR-001042,ATM_KIOSK,0.0,EMI debit
CBS-S43-00047,2026-01-01T11:31:00Z,103492,3489,8466.68,ATM,BR-000240,ATM_KIOSK,0.0,Refund credit
CBS-S43-00048,2026-01-01T11:49:00Z,203495,103492,11932.21,CHEQUE,BR-000102,ATM_KIOSK,0.0,Self-transfer
CBS-S43-00049,2026-01-01T12:06:00Z,3489,203495,13744.26,UPI,BR-001042,MOBILE_APP,0.0,Business advance
CBS-S43-00050,2026-01-01T12:17:00Z,103492,3489,28875.74,NEFT,BR-000240,NET_BANKING,0.0,Utility payment
CBS-S43-00051,2026-01-01T12:38:00Z,203495,103492,85840.65,RTGS,BR-000102,NET_BANKING,0.0,Online payment
CBS-S43-00052,2026-01-01T12:53:00Z,3489,203495,941.95,IMPS,BR-001042,ATM_KIOSK,0.0,Invoice settlement
CBS-S43-00053,2026-01-01T13:03:00Z,103492,3489,79503.69,ATM,BR-000240,ATM_KIOSK,0.0,Salary credit
CBS-S43-00054,2026-01-01T13:21:00Z,203495,103492,44408.82,CHEQUE,BR-000102,ATM_KIOSK,0.0,UPI transfer
CBS-S43-00055,2026-01-01T13:35:00Z,3489,203495,61686.16,UPI,BR-001042,MOBILE_APP,0.0,Vendor payment
CBS-S43-00056,2026-01-01T13:47:00Z,103492,3489,32450.71,NEFT,BR-000240,NET_BANKING,0.0,EMI debit
CBS-S43-00057,2026-01-01T14:03:00Z,203495,103492,7470.41,RTGS,BR-000102,NET_BANKING,0.0,Refund credit
CBS-S43-00058,2026-01-01T14:19:00Z,3489,203495,39151.98,IMPS,BR-001042,ATM_KIOSK,0.0,Self-transfer
CBS-S43-00059,2026-01-01T14:40:00Z,103492,3489,68135.4,ATM,BR-000240,ATM_KIOSK,0.0,Business advance
CBS-S43-00060,2026-01-01T14:45:00Z,203495,103492,82676.32,CHEQUE,BR-000102,ATM_KIOSK,0.0,Utility payment
CBS-S43-00061,2026-01-01T15:06:00Z,3489,203495,86721.63,UPI,BR-001042,MOBILE_APP,0.0,Online payment
CBS-S43-00062,2026-01-01T15:25:00Z,103492,3489,71578.17,NEFT,BR-000240,NET_BANKING,0.0,Invoice settlement
CBS-S43-00063,2026-01-01T15:31:00Z,203495,103492,46166.59,RTGS,BR-000102,NET_BANKING,0.0,Salary credit
CBS-S43-00064,2026-01-01T15:54:00Z,3489,203495,38982.12,IMPS,BR-001042,ATM_KIOSK,0.0,UPI transfer
CBS-S43-00065,2026-01-01T16:09:00Z,103492,3489,59547.34,ATM,BR-000240,ATM_KIOSK,0.0,Vendor payment
CBS-S43-00066,2026-01-01T16:20:00Z,203495,103492,54332.37,CHEQUE,BR-000102,ATM_KIOSK,0.0,EMI debit
CBS-S43-00067,2026-01-01T16:32:00Z,3489,203495,21945.5,UPI,BR-001042,MOBILE_APP,0.0,Refund credit
CBS-S43-00068,2026-01-01T16:48:00Z,103492,3489,62297.57,NEFT,BR-000240,NET_BANKING,0.0,Self-transfer
CBS-S43-00069,2026-01-01T17:02:00Z,203495,103492,70788.27,RTGS,BR-000102,NET_BANKING,0.0,Business advance
CBS-S43-00070,2026-01-01T17:19:00Z,3489,203495,24345.48,IMPS,BR-001042,ATM_KIOSK,0.0,Utility payment
CBS-S43-00071,2026-01-01T17:30:00Z,103492,3489,22182.53,ATM,BR-000240,ATM_KIOSK,0.0,Online payment
CBS-S43-00072,2026-01-01T17:50:00Z,203495,103492,23472.57,CHEQUE,BR-000102,ATM_KIOSK,0.0,Invoice settlement
CBS-S43-00073,2026-01-01T18:05:00Z,3489,203495,32869.23,UPI,BR-001042,MOBILE_APP,0.0,Salary credit
CBS-S43-00074,2026-01-01T18:22:00Z,103492,3489,21209.8,NEFT,BR-000240,NET_BANKING,0.0,UPI transfer
CBS-S43-00075,2026-01-01T18:35:00Z,203495,103492,50602.64,RTGS,BR-000102,NET_BANKING,0.0,Vendor payment
CBS-S43-00076,2026-01-01T18:45:00Z,3489,203495,67747.9,IMPS,BR-001042,ATM_KIOSK,0.0,EMI debit
CBS-S43-00077,2026-01-01T19:07:00Z,103492,3489,47307.15,ATM,BR-000240,ATM_KIOSK,0.0,Refund credit
CBS-S43-00078,2026-01-01T19:21:00Z,203495,103492,28026.61,CHEQUE,BR-000102,ATM_KIOSK,0.0,Self-transfer
CBS-S43-00079,2026-01-01T19:30:00Z,3489,203495,29570.64,UPI,BR-001042,MOBILE_APP,0.0,Business advance
CBS-S43-00080,2026-01-01T19:51:00Z,103492,3489,44147.3,NEFT,BR-000240,NET_BANKING,0.0,Utility payment
CBS-S43-00081,2026-01-01T20:08:00Z,203495,103492,49846.11,RTGS,BR-000102,NET_BANKING,0.0,Online payment
CBS-S43-00082,2026-01-01T20:17:00Z,3489,203495,19085.18,IMPS,BR-001042,ATM_KIOSK,0.0,Invoice settlement
CBS-S43-00083,2026-01-01T20:40:00Z,103492,3489,95596.51,ATM,BR-000240,ATM_KIOSK,0.0,Salary credit
CBS-S43-00084,2026-01-01T20:52:00Z,203495,103492,64161.16,CHEQUE,BR-000102,ATM_KIOSK,0.0,UPI transfer
CBS-S43-00085,2026-01-01T21:02:00Z,3489,203495,62356.99,UPI,BR-001042,MOBILE_APP,0.0,Vendor payment
CBS-S43-00086,2026-01-01T21:23:00Z,103492,3489,98747.96,NEFT,BR-000240,NET_BANKING,0.0,EMI debit
CBS-S43-00087,2026-01-01T21:30:00Z,203495,103492,25470.99,RTGS,BR-000102,NET_BANKING,0.0,Refund credit
CBS-S43-00088,2026-01-01T21:47:00Z,3489,203495,55496.21,IMPS,BR-001042,ATM_KIOSK,0.0,Self-transfer
CBS-S43-00089,2026-01-01T22:02:00Z,103492,3489,86714.38,ATM,BR-000240,ATM_KIOSK,0.0,Business advance
CBS-S43-00090,2026-01-01T22:21:00Z,203495,103492,4927.7,CHEQUE,BR-000102,ATM_KIOSK,0.0,Utility payment
CBS-S43-00091,2026-01-01T22:32:00Z,3489,203495,60866.87,UPI,BR-001042,MOBILE_APP,0.0,Online payment
CBS-S43-00092,2026-01-01T22:52:00Z,103492,3489,77136.3,NEFT,BR-000240,NET_BANKING,0.0,Invoice settlement
CBS-S43-00093,2026-01-01T23:05:00Z,203495,103492,64926.86,RTGS,BR-000102,NET_BANKING,0.0,Salary credit
CBS-S43-00094,2026-01-01T23:17:00Z,3489,203495,16113.58,IMPS,BR-001042,ATM_KIOSK,0.0,UPI transfer
CBS-S43-00095,2026-01-01T23:35:00Z,103492,3489,29422.96,ATM,BR-000240,ATM_KIOSK,0.0,Vendor payment
CBS-S43-00096,2026-01-01T23:45:00Z,203495,103492,18696.94,CHEQUE,BR-000102,ATM_KIOSK,0.0,EMI debit
CBS-S43-00097,2026-01-02T00:10:00Z,3489,203495,13216.51,UPI,BR-001042,MOBILE_APP,0.0,Refund credit
