cdr_id,caller_phone,receiver_phone,timestamp,duration_seconds,tower_id,direction,call_type
CDR-S90-00001,+91-9856681693,+91-9856682800,2026-08-12T15:09:00Z,319,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S90-00002,+91-9856682800,+91-9856683907,2026-08-12T06:16:00Z,22,TOWER-HR-KD-201,INCOMING,SMS
CDR-S90-00003,+91-9856683907,+91-9856685014,2026-08-11T08:56:00Z,230,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S90-00004,+91-9856685014,+91-9856686121,2026-08-12T18:00:00Z,359,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S90-00005,+91-9856686121,+91-9856681693,2026-08-12T07:08:00Z,11,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S90-00006,+91-9856681693,+91-9856682800,2026-08-12T15:24:00Z,19,TOWER-DL-RC-102,INCOMING,DATA
CDR-S90-00007,+91-9856682800,+91-9856683907,2026-08-10T07:01:00Z,259,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S90-00008,+91-9856683907,+91-9856685014,2026-08-11T03:25:00Z,29,TOWER-HR-KD-201,INCOMING,SMS
CDR-S90-00009,+91-9856685014,+91-9856686121,2026-08-10T13:26:00Z,292,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S90-00010,+91-9856686121,+91-9856681693,2026-08-10T19:31:00Z,354,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S90-00011,+91-9856681693,+91-9856682800,2026-08-11T00:32:00Z,27,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S90-00012,+91-9856682800,+91-9856683907,2026-08-12T20:35:00Z,19,TOWER-DL-RC-102,INCOMING,DATA
CDR-S90-00013,+91-9856683907,+91-9856685014,2026-08-12T04:57:00Z,545,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S90-00014,+91-9856685014,+91-9856686121,2026-08-10T03:34:00Z,10,TOWER-HR-KD-201,INCOMING,SMS
CDR-S90-00015,+91-9856686121,+91-9856681693,2026-08-11T09:40:00Z,320,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S90-00016,+91-9856681693,+91-9856682800,2026-08-10T06:24:00Z,583,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S90-00017,+91-9856682800,+91-9856683907,2026-08-12T07:39:00Z,7,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S90-00018,+91-9856683907,+91-9856685014,2026-08-12T05:19:00Z,14,TOWER-DL-RC-102,INCOMING,DATA
CDR-S90-00019,+91-9856685014,+91-9856686121,2026-08-10T01:18:00Z,436,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S90-00020,+91-9856686121,+91-9856681693,2026-08-11T19:29:00Z,18,TOWER-HR-KD-201,INCOMING,SMS
CDR-S90-00021,+91-9856681693,+91-9856682800,2026-08-10T13:26:00Z,572,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S90-00022,+91-9856682800,+91-9856683907,2026-08-12T06:07:00Z,114,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S90-00023,+91-9856683907,+91-9856685014,2026-08-10T18:48:00Z,7,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S90-00024,+91-9856685014,+91-9856686121,2026-08-10T06:42:00Z,17,TOWER-DL-RC-102,INCOMING,DATA
CDR-S90-00025,+91-9856686121,+91-9856681693,2026-08-11T22:58:00Z,257,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S90-00026,+91-9856681693,+91-9856682800,2026-08-10T14:00:00Z,8,TOWER-HR-KD-201,INCOMING,SMS
CDR-S90-00027,+91-9856682800,+91-9856683907,2026-08-11T15:57:00Z,224,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S90-00028,+91-9856683907,+91-9856685014,2026-08-12T03:52:00Z,9,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S90-00029,+91-9856685014,+91-9856686121,2026-08-11T17:49:00Z,20,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S90-00030,+91-9856686121,+91-9856681693,2026-08-10T02:17:00Z,30,TOWER-DL-RC-102,INCOMING,DATA
CDR-S90-00031,+91-9856681693,+91-9856682800,2026-08-12T14:51:00Z,471,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S90-00032,+91-9856682800,+91-9856683907,2026-08-12T19:11:00Z,7,TOWER-HR-KD-201,INCOMING,SMS
CDR-S90-00033,+91-9856683907,+91-9856685014,2026-08-12T20:16:00Z,253,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S90-00034,+91-9856685014,+91-9856686121,2026-08-10T03:21:00Z,161,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S90-00035,+91-9856686121,+91-9856681693,2026-08-11T07:53:00Z,1,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S90-00036,+91-9856681693,+91-9856682800,2026-08-11T06:52:00Z,11,TOWER-DL-RC-102,INCOMING,DATA
CDR-S90-00037,+91-9856682800,+91-9856683907,2026-08-10T02:55:00Z,128,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S90-00038,+91-9856683907,+91-9856685014,2026-08-11T12:13:00Z,10,TOWER-HR-KD-201,INCOMING,SMS
CDR-S90-00039,+91-9856685014,+91-9856686121,2026-08-10T03:46:00Z,542,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S90-00040,+91-9856686121,+91-9856681693,2026-08-12T05:42:00Z,594,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S90-00041,+91-9856681693,+91-9856682800,2026-08-12T23:16:00Z,14,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S90-00042,+91-9856682800,+91-9856683907,2026-08-12T08:28:00Z,13,TOWER-DL-RC-102,INCOMING,DATA
CDR-S90-00043,+91-9856683907,+91-9856685014,2026-08-10T06:30:00Z,589,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S90-00044,+91-9856685014,+91-9856686121,2026-08-10T07:30:00Z,6,TOWER-HR-KD-201,INCOMING,SMS
CDR-S90-00045,+91-9856686121,+91-9856681693,2026-08-11T06:00:00Z,597,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S90-00046,+91-9856681693,+91-9856682800,2026-08-12T14:54:00Z,253,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S90-00047,+91-9856682800,+91-9856683907,2026-08-11T04:23:00Z,3,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S90-00048,+91-9856683907,+91-9856685014,2026-08-10T05:49:00Z,29,TOWER-DL-RC-102,INCOMING,DATA
CDR-S90-00049,+91-9856685014,+91-9856686121,2026-08-11T02:19:00Z,506,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S90-00050,+91-9856686121,+91-9856681693,2026-08-12T08:29:00Z,17,TOWER-HR-KD-201,INCOMING,SMS
CDR-S90-00051,+91-9856681693,+91-9856682800,2026-08-12T17:26:00Z,275,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S90-00052,+91-9856682800,+91-9856683907,2026-08-10T19:33:00Z,311,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S90-00053,+91-9856683907,+91-9856685014,2026-08-11T18:05:00Z,23,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S90-00054,+91-9856685014,+91-9856686121,2026-08-10T19:27:00Z,14,TOWER-DL-RC-102,INCOMING,DATA
CDR-S90-00055,+91-9856686121,+91-9856681693,2026-08-12T08:49:00Z,544,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S90-00056,+91-9856681693,+91-9856682800,2026-08-11T19:18:00Z,2,TOWER-HR-KD-201,INCOMING,SMS
CDR-S90-00057,+91-9856682800,+91-9856683907,2026-08-12T02:07:00Z,15,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S90-00058,+91-9856683907,+91-9856685014,2026-08-11T15:19:00Z,113,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S90-00059,+91-9856685014,+91-9856686121,2026-08-10T15:33:00Z,6,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S90-00060,+91-9856686121,+91-9856681693,2026-08-11T08:06:00Z,22,TOWER-DL-RC-102,INCOMING,DATA
CDR-S90-00061,+91-9856681693,+91-9856682800,2026-08-12T12:15:00Z,345,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S90-00062,+91-9856682800,+91-9856683907,2026-08-11T06:28:00Z,14,TOWER-HR-KD-201,INCOMING,SMS
CDR-S90-00063,+91-9856683907,+91-9856685014,2026-08-12T20:41:00Z,422,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S90-00064,+91-9856685014,+91-9856686121,2026-08-10T17:17:00Z,42,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S90-00065,+91-9856686121,+91-9856681693,2026-08-11T13:43:00Z,2,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S90-00066,+91-9856681693,+91-9856682800,2026-08-10T16:59:00Z,15,TOWER-DL-RC-102,INCOMING,DATA
CDR-S90-00067,+91-9856682800,+91-9856683907,2026-08-11T23:52:00Z,74,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S90-00068,+91-9856683907,+91-9856685014,2026-08-11T15:07:00Z,4,TOWER-HR-KD-201,INCOMING,SMS
CDR-S90-00069,+91-9856685014,+91-9856686121,2026-08-12T10:17:00Z,240,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S90-00070,+91-9856686121,+91-9856681693,2026-08-12T20:04:00Z,22,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S90-00071,+91-9856681693,+91-9856682800,2026-08-12T13:30:00Z,3,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S90-00072,+91-9856682800,+91-9856683907,2026-08-11T13:23:00Z,29,TOWER-DL-RC-102,INCOMING,DATA
CDR-S90-00073,+91-9856683907,+91-9856685014,2026-08-12T05:35:00Z,242,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S90-00074,+91-9856685014,+91-9856686121,2026-08-11T23:44:00Z,27,TOWER-HR-KD-201,INCOMING,SMS
CDR-S90-00075,+91-9856686121,+91-9856681693,2026-08-10T15:09:00Z,360,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S90-00076,+91-9856681693,+91-9856682800,2026-08-12T11:17:00Z,313,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S90-00077,+91-9856682800,+91-9856683907,2026-08-11T04:18:00Z,13,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S90-00078,+91-9856683907,+91-9856685014,2026-08-11T11:33:00Z,4,TOWER-DL-RC-102,INCOMING,DATA
CDR-S90-00079,+91-9856685014,+91-9856686121,2026-08-12T07:59:00Z,353,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S90-00080,+91-9856686121,+91-9856681693,2026-08-10T08:04:00Z,15,TOWER-HR-KD-201,INCOMING,SMS
CDR-S90-00081,+91-9856681693,+91-9856682800,2026-08-10T13:19:00Z,248,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S90-00082,+91-9856682800,+91-9856683907,2026-08-10T01:55:00Z,406,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S90-00083,+91-9856683907,+91-9856685014,2026-08-11T01:28:00Z,24,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S90-00084,+91-9856685014,+91-9856686121,2026-08-11T11:51:00Z,24,TOWER-DL-RC-102,INCOMING,DATA
CDR-S90-00085,+91-9856686121,+91-9856681693,2026-08-11T18:21:00Z,140,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S90-00086,+91-9856681693,+91-9856682800,2026-08-12T01:52:00Z,30,TOWER-HR-KD-201,INCOMING,SMS
CDR-S90-00087,+91-9856682800,+91-9856683907,2026-08-12T08:43:00Z,310,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S90-00088,+91-9856683907,+91-9856685014,2026-08-12T23:22:00Z,202,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S90-00089,+91-9856685014,+91-9856686121,2026-08-10T01:46:00Z,9,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S90-00090,+91-9856686121,+91-9856681693,2026-08-10T14:11:00Z,7,TOWER-DL-RC-102,INCOMING,DATA
CDR-S90-00091,+91-9856681693,+91-9856682800,2026-08-10T12:10:00Z,65,TOWER-DL-CP-101,OUTGOING,VOICE
