cdr_id,caller_phone,receiver_phone,timestamp,duration_seconds,tower_id,direction,call_type
CDR-S70-00001,+91-9829941693,+91-9829942800,2026-08-12T09:22:00Z,314,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S70-00002,+91-9829942800,+91-9829943907,2026-08-11T00:39:00Z,3,TOWER-HR-KD-201,INCOMING,SMS
CDR-S70-00003,+91-9829943907,+91-9829945014,2026-08-12T14:46:00Z,194,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S70-00004,+91-9829945014,+91-9829946121,2026-08-12T22:12:00Z,587,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S70-00005,+91-9829946121,+91-9829941693,2026-08-11T14:15:00Z,14,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S70-00006,+91-9829941693,+91-9829942800,2026-08-12T22:55:00Z,10,TOWER-DL-RC-102,INCOMING,DATA
CDR-S70-00007,+91-9829942800,+91-9829943907,2026-08-11T18:16:00Z,82,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S70-00008,+91-9829943907,+91-9829945014,2026-08-10T05:10:00Z,30,TOWER-HR-KD-201,INCOMING,SMS
CDR-S70-00009,+91-9829945014,+91-9829946121,2026-08-12T21:57:00Z,454,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S70-00010,+91-9829946121,+91-9829941693,2026-08-10T11:32:00Z,324,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S70-00011,+91-9829941693,+91-9829942800,2026-08-11T00:33:00Z,19,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S70-00012,+91-9829942800,+91-9829943907,2026-08-11T07:06:00Z,4,TOWER-DL-RC-102,INCOMING,DATA
CDR-S70-00013,+91-9829943907,+91-9829945014,2026-08-11T08:48:00Z,493,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S70-00014,+91-9829945014,+91-9829946121,2026-08-10T01:39:00Z,27,TOWER-HR-KD-201,INCOMING,SMS
CDR-S70-00015,+91-9829946121,+91-9829941693,2026-08-11T03:06:00Z,115,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S70-00016,+91-9829941693,+91-9829942800,2026-08-10T01:07:00Z,33,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S70-00017,+91-9829942800,+91-9829943907,2026-08-10T01:18:00Z,17,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S70-00018,+91-9829943907,+91-9829945014,2026-08-11T05:39:00Z,6,TOWER-DL-RC-102,INCOMING,DATA
CDR-S70-00019,+91-9829945014,+91-9829946121,2026-08-11T17:37:00Z,22,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S70-00020,+91-9829946121,+91-9829941693,2026-08-11T18:21:00Z,10,TOWER-HR-KD-201,INCOMING,SMS
CDR-S70-00021,+91-9829941693,+91-9829942800,2026-08-11T14:32:00Z,571,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S70-00022,+91-9829942800,+91-9829943907,2026-08-11T02:26:00Z,570,TOWER-DL-DW-405,INCOMING,VOICE
CDR-S70-00023,+91-9829943907,+91-9829945014,2026-08-12T19:09:00Z,15,TOWER-UP-NO-506,OUTGOING,SMS
CDR-S70-00024,+91-9829945014,+91-9829946121,2026-08-10T16:09:00Z,8,TOWER-DL-RC-102,INCOMING,DATA
CDR-S70-00025,+91-9829946121,+91-9829941693,2026-08-11T14:34:00Z,440,TOWER-DL-CP-101,OUTGOING,VOICE
