transaction_id,timestamp,source_account,destination_account,amount,transaction_type,branch_id,channel,balance_after,reference_text
CBS-S96-00001,2026-08-22T07:03:00Z,3789,3789,60484.13,UPI,BR-001042,MOBILE_APP,39515.87,Online payment
CBS-S96-00002,2026-08-22T07:17:00Z,103792,103792,78383.57,NEFT,BR-000240,NET_BANKING,21616.429999999993,Invoice settlement
CBS-S96-00003,2026-08-22T07:36:00Z,3789,3789,87912.8,RTGS,BR-001042,NET_BANKING,0.0,Salary credit
CBS-S96-00004,2026-08-22T07:46:00Z,103792,103792,16423.56,IMPS,BR-000240,ATM_KIOSK,5192.869999999992,UPI transfer
CBS-S96-00005,2026-08-22T08:08:00Z,3789,3789,14354.69,ATM,BR-001042,ATM_KIOSK,0.0,Vendor payment
CBS-S96-00006,2026-08-22T08:21:00Z,103792,103792,23520.52,CHEQUE,BR-000240,ATM_KIOSK,0.0,EMI debit
CBS-S96-00007,2026-08-22T08:32:00Z,3789,3789,3798.79,UPI,BR-001042,MOBILE_APP,0.0,Refund credit
CBS-S96-00008,2026-08-22T08:45:00Z,103792,103792,55776.13,NEFT,BR-000240,NET_BANKING,0.0,Self-transfer
CBS-S96-00009,2026-08-22T09:05:00Z,3789,3789,78331.61,RTGS,BR-001042,NET_BANKING,0.0,Business advance
CBS-S96-00010,2026-08-22T09:18:00Z,103792,103792,28473.43,IMPS,BR-000240,ATM_KIOSK,0.0,Utility payment
CBS-S96-00011,2026-08-22T09:32:00Z,3789,3789,57361.06,ATM,BR-001042,ATM_KIOSK,0.0,Online payment
CBS-S96-00012,2026-08-22T09:54:00Z,103792,103792,68458.99,CHEQUE,BR-000240,ATM_KIOSK,0.0,Invoice settlement
CBS-S96-00013,2026-08-22T10:05:00Z,3789,3789,76960.81,UPI,BR-001042,MOBILE_APP,0.0,Salary credit
CBS-S96-00014,2026-08-22T10:22:00Z,103792,103792,89870.18,NEFT,BR-000240,NET_BANKING,0.0,UPI transfer
CBS-S96-00015,2026-08-22T10:31:00Z,3789,3789,77074.57,RTGS,BR-001042,NET_BANKING,0.0,Vendor payment
CBS-S96-00016,2026-08-22T10:47:00Z,103792,103792,20626.01,IMPS,BR-000240,ATM_KIOSK,0.0,EMI debit
CBS-S96-00017,2026-08-22T11:01:00Z,3789,3789,86672.29,ATM,BR-001042,ATM_KIOSK,0.0,Refund credit
CBS-S96-00018,2026-08-22T11:15:00Z,103792,103792,66011.88,CHEQUE,BR-000240,ATM_KIOSK,0.0,Self-transfer
