cdr_id,caller_phone,receiver_phone,timestamp,duration_seconds,tower_id,direction,call_type
CDR-S26-00001,+91-9870578893,+91-9870580000,2026-08-23T06:12:00Z,131,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S26-00002,+91-9870580000,+91-9870581107,2026-08-23T21:58:00Z,20,TOWER-HR-KD-201,INCOMING,SMS
CDR-S26-00003,+91-9870581107,+91-9870582214,2026-08-25T00:24:00Z,353,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S26-00004,+91-9870582214,+91-9870583321,2026-08-22T15:51:00Z,367,TOWER-DL-CP-101,INCOMING,VOICE
CDR-S26-00005,+91-9870583321,+91-9870578893,2026-08-24T06:27:00Z,3,TOWER-HR-KD-201,OUTGOING,SMS
CDR-S26-00006,+91-9870578893,+91-9870580000,2026-08-23T06:17:00Z,1,TOWER-DL-VK-304,INCOMING,DATA
CDR-S26-00007,+91-9870580000,+91-9870581107,2026-08-25T05:02:00Z,399,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S26-00008,+91-9870581107,+91-9870582214,2026-08-23T09:45:00Z,20,TOWER-HR-KD-201,INCOMING,SMS
CDR-S26-00009,+91-9870582214,+91-9870583321,2026-08-23T03:08:00Z,190,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S26-00010,+91-9870583321,+91-9870578893,2026-08-24T17:45:00Z,51,TOWER-DL-CP-101,INCOMING,VOICE
CDR-S26-00011,+91-9870578893,+91-9870580000,2026-08-23T01:50:00Z,1,TOWER-HR-KD-201,OUTGOING,SMS
CDR-S26-00012,+91-9870580000,+91-9870581107,2026-08-23T23:04:00Z,30,TOWER-DL-VK-304,INCOMING,DATA
CDR-S26-00013,+91-9870581107,+91-9870582214,2026-08-24T17:54:00Z,463,TOWER-DL-CP-101,OUTGOING,VOICE
CDR-S26-00014,+91-9870582214,+91-9870583321,2026-08-24T16:59:00Z,23,TOWER-HR-KD-201,INCOMING,SMS
CDR-S26-00015,+91-9870583321,+91-9870578893,2026-08-23T22:08:00Z,31,TOWER-DL-VK-304,OUTGOING,VOICE
CDR-S26-00016,+91-9870578893,+91-9870580000,2026-08-24T17:54:00Z,598,TOWER-DL-CP-101,INCOMING,VOICE
